subject,num_titles
"Politics and government",41459
Law,14206
Travel,14110
"English language",13480
Commerce,11347
Taxation,10200
Agriculture,9668
"Finance, Public",9159
"Indians of North America",9126
"Christian life",9123
"Diplomatic relations",8614
"Society of Friends",8104
"Debts, Public",7979
"Sermons, English",7780
Elections,7723
"Conduct of life",6898
Medicine,6893
Slavery,6652
"British colonies",6596
"Dissenters, Religious",6584
