subject,num_titles
"English poetry",20278
"Politics and government",19887
"Sermons, English",8873
"Conduct of life",8410
"English drama",8324
Travel,8099
"English language",7226
"Christian life",7193
"Hymns, English",5916
Medicine,5887
Women,5659
"Songs, English",5520
Trials,5140
Agriculture,5046
Letters,4780
Commerce,4423
"English fiction",4396
Law,4345
"Real property",4344
Architecture,4102
