subject	num_titles
Sermons, English	31945
Astrology	19835
Society of Friends	19415
Christian life	19121
Almanacs, English	17444
Ephemerides	15809
Politics and government	12001
Church and state	9814
Theology, Doctrinal	9747
Dissenters, Religious	8035
Medicine	7760
Lord's Supper	7090
Law	6104
Ballads, English	6052
Travel	5243
Quakers	5189
Funeral sermons	5081
Latin language	4986
English language	4758
Catechisms, English	4544
