subject	num_titles
Law	3873
Sermons, English	1961
Theology, Doctrinal	1160
Lord's Supper	1121
Medicine	1063
Session laws	940
Christian life	825
Statutes	736
Visitations, Ecclesiastical	734
Prayers	621
Justices of the peace	568
Almanacs, English	542
Plague	527
English literature	526
Proclamations	521
Astrology	436
Reformation	434
Voyages and travels	426
Psalters	395
Controversial literature	335
