subject	num_titles
Taxation	10200
Finance, Public	9159
Indians of North America	9126
Diplomatic relations	8614
Society of Friends	8104
Debts, Public	7979
Elections	7723
Slavery	6652
British colonies	6596
Dissenters, Religious	6584
